PoolList;description;Patch
5499;Truesilver Deposit - The Hinterlands - multinodes subzone 22;12
5500;Truesilver Deposit - The Hinterlands - multinodes subzone 22;12
5502;Truesilver Deposit - The Hinterlands - multinodes subzone 23;12
5503;Truesilver Deposit - The Hinterlands - multinodes subzone 23;12
5504;Truesilver Deposit - The Hinterlands - multinodes subzone 23;12
5505;Truesilver Deposit - The Hinterlands - multinodes subzone 23;12
5508;Truesilver Deposit - The Hinterlands - multinodes subzone 24;12
5509;Truesilver Deposit - The Hinterlands - multinodes subzone 24;12
5510;Truesilver Deposit - The Hinterlands - multinodes subzone 24;12
5512;Truesilver Deposit - The Hinterlands - multinodes subzone 25;12
5514;Truesilver Deposit - The Hinterlands - multinodes subzone 27;12
5515;Truesilver Deposit - The Hinterlands - multinodes subzone 27;12
5516;Truesilver Deposit - The Hinterlands - multinodes subzone 27;12
5517;Truesilver Deposit - The Hinterlands - multinodes subzone 27;12
5518;Truesilver Deposit - The Hinterlands - multinodes subzone 27;12
5520;Truesilver Deposit - The Hinterlands - multinodes subzone 28;12
5521;Truesilver Deposit - The Hinterlands - multinodes subzone 28;12
5522;Truesilver Deposit - The Hinterlands - multinodes subzone 28;12
5523;Truesilver Deposit - The Hinterlands - multinodes subzone 28;12
5524;Truesilver Deposit - The Hinterlands - multinodes subzone 28;12
5525;Truesilver Deposit - The Hinterlands - multinodes subzone 28;12
5526;Truesilver Deposit - The Hinterlands - multinodes subzone 28;12
5529;Truesilver Deposit - The Hinterlands - multinodes subzone 29;12
5531;Truesilver Deposit - The Hinterlands - multinodes subzone 32;12
5532;Truesilver Deposit - The Hinterlands - multinodes subzone 32;12
5533;Truesilver Deposit - The Hinterlands - multinodes subzone 32;12
5534;Truesilver Deposit - The Hinterlands - multinodes subzone 32;12
5535;Truesilver Deposit - The Hinterlands - multinodes subzone 32;12
5536;Truesilver Deposit - The Hinterlands - multinodes subzone 32;12
5537;Truesilver Deposit - The Hinterlands - multinodes subzone 32;12
5538;Truesilver Deposit - The Hinterlands - multinodes subzone 32;12
5540;Truesilver Deposit - The Hinterlands - multinodes subzone 33;12
5543;Truesilver Deposit - The Hinterlands - multinodes subzone 33;12
5645;Mithril Deposit - Searing Gorge - multinodes subzone 19;12
5937;Truesilver Deposit - Feralas - subzone 58;12
5938;Truesilver Deposit - Feralas - subzone 60;12
5945;Mithril Deposit - Feralas - subzone 100;12
5946;Mithril Deposit - Feralas - subzone 101;12
6319;Mineral nodes - Desolace - subzone 6;12
6336;Truesilver Deposit - Desolace - subzone 23;12
6343;Truesilver Deposit - Desolace - subzone 30;12
6356;Mithril Deposit - Desolace - subzone 44;12
6358;Truesilver Deposit - Desolace - multinodes subzone 45;12
6398;Truesilver Deposit - Tanaris - subzone 34;12
6404;Truesilver Deposit - Tanaris - subzone 46;12
6409;Truesilver Deposit - Tanaris - subzone 51;12
6410;Truesilver Deposit - Tanaris - subzone 52;12
6422;Mithril Deposit - Tanaris - subzone 77;12
6423;Mithril Deposit - Tanaris - subzone 78;12
6428;Truesilver Deposit - Tanaris - subzone 90;12
6433;Truesilver Deposit - Tanaris - subzone 100;12
6434;Mithril Deposit - Tanaris - subzone 101;12
6435;Truesilver Deposit - Tanaris - subzone 102;12
6436;Mithril Deposit - Tanaris - subzone 103;12
6441;Mineral nodes - Tanaris - subzone 111;12
6442;Truesilver Deposit - Tanaris - subzone 112;12
6444;Mithril Deposit - Tanaris - subzone 113;12
8162;Stranglekelp - Azshara - subzone 1;12
8163;Sungrass - Azshara - subzone 1;12
8165;Stranglekelp - Azshara - subzone 2;12
8166;Stranglekelp - Azshara - subzone 3;12
8167;Purple Lotus - Azshara - subzone 3;12
8168;Sungrass - Azshara - subzone 3;12
8172;Khadgar's Whisker - Azshara - subzone 3;12
8173;Stranglekelp - Azshara - subzone 4;12
8174;Purple Lotus - Azshara - subzone 4;12
8175;Sungrass - Azshara - subzone 4;12
8179;Khadgar's Whisker - Azshara - subzone 4;12
8180;Stranglekelp - Azshara - subzone 5;12
8181;Purple Lotus - Azshara - subzone 5;12
8182;Sungrass - Azshara - subzone 5;12
8186;Stranglekelp - Azshara - subzone 6;12
8187;Purple Lotus - Azshara - subzone 6;12
8188;Sungrass - Azshara - subzone 6;12
8192;Purple Lotus - Azshara - subzone 7;12
8193;Sungrass - Azshara - subzone 7;12
8195;Goldthorn - Azshara - subzone 8;12
8196;Purple Lotus - Azshara - subzone 8;12
8197;Sungrass - Azshara - subzone 8;12
8201;Khadgar's Whisker - Azshara - subzone 8;12
8205;Khadgar's Whisker - Azshara - subzone 9;12
8416;Firebloom - Searing Gorge - subzone 1;12
8417;Firebloom - Searing Gorge - subzone 2;12
8418;Firebloom - Searing Gorge - subzone 3;12
8419;Firebloom - Searing Gorge - subzone 4;12
31020;Blasted Lands (Serpent's Coil) - Chest Pool;12
31021;Blasted Lands (Dreadmaul Hold) - Chest Pool;12
31055;Azshara - Chest Pool;12
31056;Azshara (Ruins of Eldarath) - Chest Pool;12
31057;Azshara (Bear's Head) - Chest Pool;12
31058;Azshara (Temple of Arkkoran) - Chest Pool;12
31059;Azshara (Lake Mennar) - Chest Pool;12
31060;Azshara (Rethress Sanctum) - Chest Pool;12
31061;Azshara (Ursolan) - Chest Pool;12
31062;Azshara (Legash Encampment) - Chest Pool;12
31063;Azshara (Haldarr Encampment) - Chest Pool;12
31064;Azshara (Temple of Zin-Malor) - Chest Pool;12
31112;Searing Gorge - Chest Pool;12
31113;Searing Gorge (The Cauldron) - Chest Pool;12
31114;Searing Gorge (The Sea of Cinders) - Chest Pool;12
31115;Searing Gorge (Firewatch Ridge) - Chest Pool;12
31276;Azshara (Timbermaw Hold) - Chest Pool;12
31277;Azshara (Shadowsong Shrine) - Chest Pool;12
31294;Searing Gorge (Grimesilt Dig Site) - Chest Pool;12
31295;Searing Gorge (The Slag Pit) - Chest Pool;12
31336;Azshara (The Shattered Strand) - Chest Pool;12
31337;Azshara (Thalassian Base Camp) - Chest Pool;12
39910;The Barrens (Razorfen Downs) - Chest Pool;12
39928;Searing Gorge - Master Chest Pool;12
39929;Azshara - Master Chest Pool;12
39930;Blasted Lands - Chest Pool;12
39947;Blasted Lands - Chest Pool;12
40148;The Barrens (Razorfen Downs) - Chest Pool;12
45901;Razorfen Downs - Ragglesnout (7354);12
45990;Razorfen Downs - Master Chest Pool;12
45991;Razorfen Downs (Spiral of Thorns) - Chest Pool;12
45992;Razorfen Downs (The Murder Pens) - Chest Pool;12
50002;Mineral nodes - Blasted Lands - multinodes subzone 4;12
50003;Mineral nodes - Blasted Lands - multinodes subzone 5;12
1001;Narillasanz;11
1026;Zaricotl;11
1114;Scale Belly;11
1115;Lord Sakrasis;11
1125;Lord Captain Wyrmak;11
1129;Razortalon;11
1130;Old Cliff Jumper;11
1131;The Reak;11
1132;Ironback;11
1133;Jalinde Summerdrake;11
1134;Grimungous;11
1135;Retherokk the Berserker;11
1136;Mith'rethis the Enchanter;11
1137;Witherheart the Stalker;11
1138;Zul'arek Hatefowler;11
1804;Stranglethorn Vale - Bloodsail Charts (2086);11
1805;Stranglethorn Vale - Bloodsail Orders (2087);11
1816;Tanaris - Inconspicuous Landmark (142189);11
1819;The Hinterlands - Pupellyverbos Port (2068);11
1825;Stranglethorn Vale - Master Half-Buried Bottle (2560) Pool;11
1826;Stranglethorn Vale (Wild Shore) - Half-Buried Bottle (2560);11
1827;Stranglethorn Vale (Jaguero Isle) - Half-Buried Bottle (2560);11
1828;Stranglethorn Vale (The Crystal Shore) - Half-Buried Bottle (2560);11
1829;Stranglethorn Vale (Ruins of Aboraz) - Half-Buried Bottle (2560);11
2291;Mineral nodes - The Hinterlands - multinodes subzone 13;11
2296;Mineral nodes - The Hinterlands - multinodes subzone 18;11
2299;Mineral nodes - The Hinterlands - multinodes subzone 23;11
2304;Mineral nodes - The Hinterlands - multinodes subzone 29;11
2306;Mineral nodes - The Hinterlands - multinodes subzone 33;11
2415;Mineral nodes - Tanaris - multinodes subzone 52;11
2416;Mineral nodes - Tanaris - multinodes subzone 103;11
2417;Mineral nodes - Tanaris - multinodes subzone 112;11
5922;Mineral nodes - Feralas - subzone 21;11
5926;Mineral nodes - Feralas - subzone 30;11
5930;Mineral nodes - Feralas - subzone 40;11
5931;Mineral nodes - Feralas - subzone 46;11
5934;Mineral nodes - Feralas - subzone 49;11
5936;Mithril Deposit - Feralas - subzone 57;11
5939;Mineral nodes - Feralas - subzone 61;11
5942;Mineral nodes - Feralas - subzone 69;11
5943;Mineral nodes - Feralas - subzone 79;11
5944;Mineral nodes - Feralas - subzone 88;11
6391;Mineral nodes - Tanaris - subzone 9;11
6392;Mineral nodes - Tanaris - subzone 10;11
6394;Mineral nodes - Tanaris - subzone 22;11
6395;Mineral nodes - Tanaris - subzone 23;11
6399;Mineral nodes - Tanaris - subzone 35;11
6401;Mineral nodes - Tanaris - subzone 37;11
6402;Mineral nodes - Tanaris - subzone 38;11
6405;Mineral nodes - Tanaris - subzone 47;11
6406;Mineral nodes - Tanaris - subzone 48;11
6408;Mineral nodes - Tanaris - subzone 50;11
6411;Mineral nodes - Tanaris - multinodes subzone 52;11
6412;Mineral nodes - Tanaris - subzone 58;11
6414;Mineral nodes - Tanaris - subzone 60;11
6417;Mineral nodes - Tanaris - subzone 64;11
6418;Mineral nodes - Tanaris - subzone 65;11
6419;Mineral nodes - Tanaris - subzone 71;11
6420;Mineral nodes - Tanaris - subzone 72;11
6421;Mineral nodes - Tanaris - subzone 74;11
6424;Mineral nodes - Tanaris - subzone 84;11
6425;Mineral nodes - Tanaris - subzone 85;11
6426;Mineral nodes - Tanaris - subzone 87;11
6427;Mineral nodes - Tanaris - subzone 89;11
6429;Mineral nodes - Tanaris - subzone 91;11
6430;Mineral nodes - Tanaris - subzone 97;11
6431;Mineral nodes - Tanaris - subzone 98;11
6432;Mineral nodes - Tanaris - subzone 99;11
6437;Mineral nodes - Tanaris - multinodes subzone 103;11
6438;Mineral nodes - Tanaris - multinodes subzone 103;11
6439;Mineral nodes - Tanaris - subzone 104;11
6440;Mineral nodes - Tanaris - subzone 110;11
6443;Mineral nodes - Tanaris - multinodes subzone 112;11
6445;Mineral nodes - Tanaris - subzone 114;11
8046;Stranglekelp - Swamp of Sorrow - subzone 1;11
8048;Blindweed - Swamp of Sorrow - subzone 1;11
8054;Blindweed - Swamp of Sorrow - subzone 2;11
8092;Stranglekelp - Wetlands - subzone 4;11
8096;Stranglekelp - Wetlands - subzone 5;11
8102;Stranglekelp - Wetlands - subzone 6;11
8143;Stranglekelp - Dustwallow Marsh - subzone 1;11
8148;Stranglekelp - Dustwallow Marsh - subzone 2;11
8158;Stranglekelp - Dustwallow Marsh - subzone 4;11
8214;Stranglekelp - The Barrens - subzone 2;11
8269;Stranglekelp - Stranglehorn Vale - subzone 1;11
8277;Stranglekelp - Stranglehorn Vale - subzone 2;11
8292;Stranglekelp - Stranglehorn Vale - subzone 4;11
8298;Stranglekelp - Stranglehorn Vale - subzone 5;11
8306;Stranglekelp - Stranglehorn Vale - subzone 6;11
8316;Stranglekelp - Alterac Mountains - subzone 1;11
8346;Stranglekelp - Westfall - subzone 2;11
8353;Stranglekelp - Westfall - subzone 3;11
8360;Stranglekelp - Westfall - subzone 4;11
8388;Stranglekelp - Arathi Highlands - subzone 2;11
8400;Khadgar's Whisker - The Hinterlands - subzone 1;11
8401;Sungrass - The Hinterlands - subzone 1;11
8402;Liferoot - The Hinterlands - subzone 1;11
8403;Fadeleaf - The Hinterlands - subzone 1;11
8405;Goldthorn - The Hinterlands - subzone 1;11
8406;Purple Lotus - The Hinterlands - subzone 1;11
8409;Khadgar's Whisker - The Hinterlands - subzone 2;11
8410;Sungrass - The Hinterlands - subzone 2;11
8411;Liferoot - The Hinterlands - subzone 2;11
8412;Fadeleaf - The Hinterlands - subzone 2;11
8413;Goldthorn - The Hinterlands - subzone 2;11
8414;Purple Lotus - The Hinterlands - subzone 2;11
8425;Stranglekelp - Hillsbrad Foothills - subzone 1;11
8437;Stranglekelp - Hillsbrad Foothills - subzone 3;11
8448;Stranglekelp - Ashenvale - subzone 1;11
8456;Stranglekelp - Ashenvale - subzone 2;11
8464;Stranglekelp - Ashenvale - subzone 3;11
8476;Stranglekelp - Ashenvale - subzone 5;11
8482;Stranglekelp - Ashenvale - subzone 6;11
8526;Khadgar's Whisker - Feralas - subzone 1;11
8527;Goldthorn - Feralas - subzone 1;11
8528;Sungrass - Feralas - subzone 1;11
8530;Liferoot - Feralas - subzone 2;11
8531;Khadgar's Whisker - Feralas - subzone 2;11
8532;Goldthorn - Feralas - subzone 2;11
8533;Sungrass - Feralas - subzone 2;11
8535;Khadgar's Whisker - Feralas - subzone 4;11
8536;Goldthorn - Feralas - subzone 4;11
8537;Purple Lotus - Feralas - subzone 4;11
8538;Sungrass - Feralas - subzone 4;11
8540;Liferoot - Feralas - subzone 5;11
8541;Khadgar's Whisker - Feralas - subzone 5;11
8542;Goldthorn - Feralas - subzone 5;11
8543;Sungrass - Feralas - subzone 5;11
8545;Liferoot - Feralas - subzone 7;11
8546;Khadgar's Whisker - Feralas - subzone 7;11
8547;Stranglekelp - Feralas - subzone 7;11
8548;Goldthorn - Feralas - subzone 7;11
8549;Sungrass - Feralas - subzone 7;11
8551;Liferoot - Feralas - subzone 8;11
8552;Khadgar's Whisker - Feralas - subzone 8;11
8553;Stranglekelp - Feralas - subzone 8;11
8554;Goldthorn - Feralas - subzone 8;11
8555;Purple Lotus - Feralas - subzone 8;11
8556;Sungrass - Feralas - subzone 8;11
8558;Liferoot - Feralas - subzone 9;11
8559;Khadgar's Whisker - Feralas - subzone 9;11
8560;Goldthorn - Feralas - subzone 9;11
8561;Purple Lotus - Feralas - subzone 9;11
8562;Sungrass - Feralas - subzone 9;11
8564;Stranglekelp - Feralas - subzone 10;11
8565;Goldthorn - Feralas - subzone 10;11
8566;Purple Lotus - Feralas - subzone 10;11
8567;Khadgar's Whisker - Feralas - subzone 11;11
8568;Stranglekelp - Feralas - subzone 11;11
8569;Purple Lotus - Feralas - subzone 11;11
8570;Goldthorn - Feralas - subzone 12;11
8571;Purple Lotus - Feralas - subzone 12;11
8572;Sungrass - Feralas - subzone 12;11
8629;Stranglekelp - Silverpine Forest - subzone 2;11
8635;Stranglekelp - Silverpine Forest - subzone 3;11
8642;Stranglekelp - Silverpine Forest - subzone 4;11
8714;Stranglekelp - Darkshore - subzone 3;11
8721;Stranglekelp - Darkshore - subzone 4;11
8728;Stranglekelp - Darkshore - subzone 5;11
8733;Stranglekelp - Darkshore - subzone 6;11
8739;Gromsblood - Desolace - subzone 1;11
8749;Stranglekelp - Desolace - subzone 3;11
8750;Ghost Mushroom - Desolace - subzone 3;11
8751;Gromsblood - Desolace - subzone 3;11
8755;Stranglekelp - Desolace - subzone 4;11
8780;Stranglekelp - Tanaris - subzone 3;11
8781;Firebloom - Tanaris - subzone 4;11
8782;Purple Lotus - Tanaris - subzone 4;11
8783;Stranglekelp - Tanaris - subzone 4;11
8784;Firebloom - Tanaris - subzone 5;11
8785;Stranglekelp - Tanaris - subzone 5;11
8786;Firebloom - Tanaris - subzone 7;11
8787;Firebloom - Tanaris - subzone 9;11
8788;Purple Lotus - Tanaris - subzone 9;11
8789;Firebloom - Tanaris - subzone 10;11
8790;Purple Lotus - Tanaris - subzone 10;11
8791;Firebloom - Tanaris - subzone 12;11
8792;Firebloom - Tanaris - subzone 13;11
8793;Purple Lotus - Tanaris - subzone 13;11
8794;Firebloom - Tanaris - subzone 14;11
8795;Firebloom - Tanaris - subzone 15;11
8796;Purple Lotus - Tanaris - subzone 15;11
8797;Firebloom - Tanaris - subzone 18;11
8798;Purple Lotus - Tanaris - subzone 18;11
8799;Firebloom - Tanaris - subzone 19;11
8800;Firebloom - Tanaris - subzone 20;11
8801;Purple Lotus - Tanaris - subzone 20;11
21412;The Barrens - Food Crate (3662,3690,3691,3693,3695) & Barrel of Milk (3705) - Master Pool;11
21413;Redridge Mountains - Food Crate (3662,3695) & Barrel of Milk (3705) / Barrel of Melon Juice (3659) - Master Pool;11
21414;Stonetalon Mountains - Food Crate (3662) & Barrel of Milk (3705) - Master Pool;11
21415;Ashenvale - Food Crate (3695) & Barrel of Melon Juice (3659) - Master Pool;11
21416;Duskwood - Food Crate (3695) & Barrel of Melon Juice (3659) - Master Pool;11
21417;Hillsbrad Foothills - Food Crate (3695) & Barrel of Melon Juice (3659) - Master Pool;11
21418;Wetlands - Food Crate (3695) & Barrel of Melon Juice (3659) - Master Pool;11
21419;Alterac Mountains - Food Crate (3695,3707) & Barrel of Melon Juice (3659) / Barrel of Sweet Nectar (3706) - Master Pool;11
21424;The Hinterlands - Food Crate (153470) - Master Pool;11
25612;Tanaris Southern Island - Freebooter / Pirate / Swashbuckler patrol 1;11
25613;Tanaris Southern Island - Freebooter / Pirate / Swashbuckler patrol 2;11
25614;Tanaris Southern Island - Freebooter / Pirate static 1;11
25615;Tanaris Southern Island - Freebooter / Pirate static 2;11
25616;Tanaris Southern Island - Fire Roc / Blisterpaw Hyena / Scorpid Dunestalker static 1;11
25617;Tanaris Southern Island - Fire Roc / Blisterpaw Hyena / Scorpid Dunestalker static 2;11
25618;Tanaris Southern Island - Fire Roc / Blisterpaw Hyena / Scorpid Dunestalker static 3;11
25619;Tanaris Southern Island - Fire Roc / Blisterpaw Hyena / Scorpid Dunestalker static 4;11
25620;Tanaris Southern Island - Fire Roc / Blisterpaw Hyena / Scorpid Dunestalker static 5;11
25621;Tanaris Southern Island - Fire Roc / Blisterpaw Hyena / Scorpid Dunestalker static 6;11
31104;The Hinterlands (Shadra'Alor) - Chest Pool;11
31105;The Hinterlands (Bogen's Ledge) - Chest Pool;11
31106;The Hinterlands (The Altar of Zul) - Chest Pool;11
31107;The Hinterlands (Jintha'Alor) - Chest Pool;11
31108;The Hinterlands (Skulk Rock) - Chest Pool;11
31109;The Hinterlands - Chest Pool;11
31110;The Hinterlands (Agol'watha) - Chest Pool;11
31111;The Hinterlands (The Creeping Ruin) - Chest Pool;11
31141;Tanaris (Waterspring Field) - Chest Pool;11
31142;Tanaris (Lost Rigger Cove) - Chest Pool;11
31143;Tanaris (Dunemaul Compound) - Chest Pool;11
31236;Dun Morogh (Gnomeregan) - Chest Pool;11
31291;The Hinterlands (Hiri'watha) - Chest Pool;11
31292;The Hinterlands (Valorwind Lake) - Chest Pool;11
31293;The Hinterlands (Zun'watha) - Chest Pool;11
31304;Tanaris (Sandsorrow Watch) - Chest Pool;11
31305;Tanaris (Wavestrider Beach) - Chest Pool;11
31320;The Barrens (Bael'dun Keep) - Chest Pool;11
39926;The Hinterlands - Master Chest Pool;11
39927;Tanaris - Master Chest Pool;11
45070;Shadowfang Keep - Barrel of Melon Juice & Food Crate Pool;11
45651;Uldaman - Mineral Pool;11
45652;Uldaman - Indurium Mineral Vein (19903);11
45661;Uldaman - Food Crate (3707);11
45691;Uldaman - Master Chest Pool;11
45701;Gnomeregan - Dark Iron Ambassador (6228);11
45702;Gnomeregan - Kernobee (7850);11
45751;Gnomeregan - Artificial Extrapolator (142344);11
45790;Gnomeregan (Engineering Labs) - Chest Pool;11
45791;Gnomeregan (The Hall of Gears) - Chest Pool;11
45792;Gnomeregan (The Dormitory) - Chest Pool;11
45793;Gnomeregan (Engineering Labs) - Chest Pool;11
45794;Gnomeregan (The Dormitory) - Large Iron Bound/Solid Chest #4;11
1003;Lo'Grosh;10
1008;Darbel Montrose;10
1010;Foulbelly;10
1011;Ruul Onestone;10
1013;Molok the Crusher;10
1016;Geomancer Flintdagger;10
1018;Prince Nazjak;10
1021;War Golem;10
1023;Barnabus;10
1025;Broken Tooth;10
1027;7:XT;10
1117;Gluggle;10
1118;Roloch;10
1120;Bookie Herod;10
1121;Verifonix;10
1122;Lost One Chieftain;10
1123;Ongeku;10
1124;Lost One Cook;10
1127;Gilmorian;10
1221;Burgle Eye;10
1222;Drogoth the Roamer;10
1223;Dart;10
1224;Ripscale;10
1225;Hayoc;10
1226;The Rot;10
1227;Lord Angler;10
1228;Oozeworm;10
1266;Tethis;10
1830;Stranglethorn Vale (The Vile Reef) - Giant Clam (2744);10
1837;Darkshore (Blackfathom Deeps - Outside) - Giant Clam (19018);10
2002;Mineral nodes - Badlands - multinodes subzone 5;10
2003;Mineral nodes - Badlands - multinodes subzone 6;10
2004;Mineral nodes - Badlands - multinodes subzone 7;10
2006;Mineral nodes - Badlands - multinodes subzone 9;10
2008;Mineral nodes - Badlands - multinodes subzone 11;10
2009;Mineral nodes - Badlands - multinodes subzone 12;10
2010;Mineral nodes - Badlands - multinodes subzone 13;10
2011;Mineral nodes - Badlands - multinodes subzone 14;10
2012;Mineral nodes - Badlands - multinodes subzone 15;10
2014;Mineral nodes - Badlands - multinodes subzone 18;10
2015;Mineral nodes - Badlands - multinodes subzone 19;10
2017;Mineral nodes - Badlands - multinodes subzone 22;10
2018;Mineral nodes - Badlands - multinodes subzone 23;10
2035;Mineral nodes - Swamp of Sorrow - multinodes subzone 5;10
2036;Mineral nodes - Swamp of Sorrow - multinodes subzone 6;10
2037;Mineral nodes - Swamp of Sorrow - multinodes subzone 7;10
2038;Mineral nodes - Swamp of Sorrow - multinodes subzone 8;10
2039;Mineral nodes - Swamp of Sorrow - multinodes subzone 9;10
2040;Mineral nodes - Swamp of Sorrow - multinodes subzone 10;10
2041;Mineral nodes - Swamp of Sorrow - multinodes subzone 12;10
2042;Mineral nodes - Swamp of Sorrow - multinodes subzone 14;10
2043;Mineral nodes - Swamp of Sorrow - multinodes subzone 16;10
2044;Mineral nodes - Swamp of Sorrow - multinodes subzone 18;10
2045;Mineral nodes - Swamp of Sorrow - multinodes subzone 19;10
2046;Mineral nodes - Swamp of Sorrow - multinodes subzone 22;10
2047;Mineral nodes - Swamp of Sorrow - multinodes subzone 23;10
2048;Mineral nodes - Swamp of Sorrow - multinodes subzone 24;10
2120;Mineral nodes - Stranglehorn Vale - multinodes subzone 7;10
2121;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
2122;Mineral nodes - Stranglehorn Vale - multinodes subzone 9;10
2123;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
2124;Mineral nodes - Stranglehorn Vale - multinodes subzone 15;10
2125;Mineral nodes - Stranglehorn Vale - multinodes subzone 16;10
2126;Mineral nodes - Stranglehorn Vale - multinodes subzone 18;10
2127;Mineral nodes - Stranglehorn Vale - multinodes subzone 19;10
2128;Mineral nodes - Stranglehorn Vale - multinodes subzone 20;10
2129;Mineral nodes - Stranglehorn Vale - multinodes subzone 21;10
2130;Mineral nodes - Stranglehorn Vale - multinodes subzone 22;10
2131;Mineral nodes - Stranglehorn Vale - multinodes subzone 24;10
2132;Mineral nodes - Stranglehorn Vale - multinodes subzone 25;10
2133;Mineral nodes - Stranglehorn Vale - multinodes subzone 26;10
2134;Mineral nodes - Stranglehorn Vale - multinodes subzone 27;10
2135;Mineral nodes - Stranglehorn Vale - multinodes subzone 29;10
2136;Mineral nodes - Stranglehorn Vale - multinodes subzone 30;10
2137;Mineral nodes - Stranglehorn Vale - multinodes subzone 32;10
2138;Mineral nodes - Stranglehorn Vale - multinodes subzone 33;10
2139;Mineral nodes - Stranglehorn Vale - multinodes subzone 34;10
2140;Mineral nodes - Stranglehorn Vale - multinodes subzone 36;10
2141;Mineral nodes - Stranglehorn Vale - multinodes subzone 39;10
2142;Mineral nodes - Stranglehorn Vale - multinodes subzone 40;10
2143;Mineral nodes - Stranglehorn Vale - multinodes subzone 41;10
2144;Mineral nodes - Stranglehorn Vale - multinodes subzone 42;10
2145;Mineral nodes - Stranglehorn Vale - multinodes subzone 43;10
2146;Mineral nodes - Stranglehorn Vale - multinodes subzone 44;10
2147;Mineral nodes - Stranglehorn Vale - multinodes subzone 45;10
2148;Mineral nodes - Stranglehorn Vale - multinodes subzone 46;10
2149;Mineral nodes - Stranglehorn Vale - multinodes subzone 49;10
2150;Mineral nodes - Stranglehorn Vale - multinodes subzone 50;10
2151;Mineral nodes - Stranglehorn Vale - multinodes subzone 54;10
2152;Mineral nodes - Stranglehorn Vale - multinodes subzone 55;10
2413;Mineral nodes - Desolace - multinodes subzone 45;10
2414;Mineral nodes - Desolace - multinodes subzone 46;10
3782;Mineral nodes - Dustwallow Marsh - subzone 23;10
3783;Mineral nodes - Dustwallow Marsh - subzone 24;10
3784;Mineral nodes - Dustwallow Marsh - subzone 28;10
3785;Mineral nodes - Dustwallow Marsh - subzone 29;10
3786;Mineral nodes - Dustwallow Marsh - subzone 30;10
3787;Mineral nodes - Dustwallow Marsh - subzone 31;10
3788;Mineral nodes - Dustwallow Marsh - subzone 37;10
3789;Mineral nodes - Dustwallow Marsh - subzone 38;10
3791;Mineral nodes - Dustwallow Marsh - subzone 43;10
3792;Mineral nodes - Dustwallow Marsh - subzone 46;10
3793;Mineral nodes - Dustwallow Marsh - subzone 50;10
3794;Mineral nodes - Dustwallow Marsh - subzone 51;10
3795;Mineral nodes - Dustwallow Marsh - subzone 52;10
3796;Mineral nodes - Dustwallow Marsh - subzone 55;10
3990;Mineral nodes - Stranglehorn Vale - multinodes subzone 7;10
3991;Mineral nodes - Stranglehorn Vale - multinodes subzone 7;10
3992;Mineral nodes - Stranglehorn Vale - multinodes subzone 7;10
3994;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
3995;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
3996;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
3997;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
3999;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4000;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4001;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4002;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4003;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4004;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4006;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4007;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4008;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4009;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4011;Mineral nodes - Stranglehorn Vale - multinodes subzone 8;10
4013;Mineral nodes - Stranglehorn Vale - multinodes subzone 9;10
4015;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
4017;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
4018;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
4019;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
4020;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
4021;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
4022;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
4023;Mineral nodes - Stranglehorn Vale - multinodes subzone 10;10
4027;Mineral nodes - Stranglehorn Vale - multinodes subzone 15;10
4028;Mineral nodes - Stranglehorn Vale - multinodes subzone 15;10
4029;Mineral nodes - Stranglehorn Vale - multinodes subzone 15;10
4034;Mineral nodes - Stranglehorn Vale - multinodes subzone 16;10
4035;Mineral nodes - Stranglehorn Vale - multinodes subzone 16;10
4036;Mineral nodes - Stranglehorn Vale - multinodes subzone 16;10
4037;Mineral nodes - Stranglehorn Vale - multinodes subzone 16;10
4038;Mineral nodes - Stranglehorn Vale - multinodes subzone 16;10
4039;Mineral nodes - Stranglehorn Vale - multinodes subzone 16;10
4040;Mineral nodes - Stranglehorn Vale - multinodes subzone 16;10
4044;Mineral nodes - Stranglehorn Vale - multinodes subzone 18;10
4045;Mineral nodes - Stranglehorn Vale - multinodes subzone 18;10
4046;Mineral nodes - Stranglehorn Vale - multinodes subzone 18;10
