GossipList;;Patch
6543;"What bug comes before the lords of the Council?  A bug, no doubt, wishing to be squashed!

A thunderous voice bellows from the stone...$B$BGreetings, commander. What news of Silithus do you bring the Lords of the Council?

Missing US text.

A thunderous voice bellows from the stone...$B$BWhat is this?  I sense a little cultist scurrying about!  Run along, vermin, or face the wrath of the lords of the Council!";26
6544;"Hey!  Thanks for saving my hide!  I think I'll be lying down for a while until I recover my strength.

Who are you?  Where am I?  I feel... so weak?";26
6545;Who knows? Anyhow, that was the last I saw of her. Maybe Frankal can give you better information.$B$BNot to steer off topic here as I'm sure the work you're doing for the Commander is important, but we're onto something huge here. HUGE! Our requests to Ironforge for an army have so far fallen on deaf ears. Apparently we're stretched too thin in protecting the realm or some such nonsense. Once you take your report back to the Commander, come back down here with some friends. We need your help!;26
6546;What do you mean what do I mean? She went nutso! The girl went straight crazy on us. Now ordinarily I don't hit girls but after I recovered from the blackout, I was pretty damned angry. Brann, Rutgar, me and the monkey went positively orc on her! It's a miracle we were able to fend her off. She seemed almost possessed!;26
6547;She demanded that we immediately head back to Hive'Regal! Brann would have none of that sass. He told her that there's no way we would go back into those hives without an army backing us up. It had gotten far too dangerous. The number of those stinking insects seemed to have tripled from when we first ventured into 'em.$B$BThat's when Natalia lost it!;26
6548;Are you daft? Who else would I be talking about? Yes, the girl - Mistress Mar'alith. Anyhow, she was back and not in too good of a mood. That's when the demands started flowing.;26
6549;We took her to the Commander with hopes that the druids of the Circle could fix her up. Sure enough, they were able to wake her up. We figured our business with the Circle was done and we could get back to work.$B$BA few weeks passed and everything was going fine. Brann was still around back then so we had a bit of order in our work structure. Then one day, out of the blue, she appeared back at our camp.;26
6550;It sure is! Those hives were abuzz with various silithid that were none too happy to see us.$B$BEverything was going fine until we came across a glyphed crystal in Hive'Regal. She was drawn to it like a moth to a flame! She put her pretty little cheek up against the crystal and instantly entered a trance-like state. Naturally, this worried my crew. We picked her up and carried her out of there with a quickness!;26
6551;You best have a seat then, this is gonna be a long one.$B$BWhen we initially arrived in Silithus, Mistress Mar'alith was the first of the night elves from Cenarion Hold to join the expedition. Our routine was nothing out of the ordinary: Form a party to venture into the various hives and search for lost artifacts. ;26
6552;Yep.;26
6553;I'll tell you 'then what.' She went runnin' straight for the hive. And you know what's crazier? Not a single damned bug got in her way or tried to stop her. She ran through them all as if she'd been best friends with 'em for centuries.;26
6554;What's there to ask? He's a monkey you crazy fool. Anyhow, so yea, the monkey went into a frenzy after seein' ol' Brann flop into the sand face first. Nothin' the night elf could do was stopping Glibb here from poundin' on her noggin.;26
6555;"Listen $g sonny:missy;, I'll have you know that whatever attacked us was no priestess of nothin'! Her eyes were aglow with something evil and she was genuinely frothing at the mouth! She came in, did some kind of crazy scream that sent us all runnin' in separate directions then started flayin' our minds one by one. I'd be hearin' shadowy words in my head, watchin' the other's periodically black out here and there. It was madness! We would have been done for if not for the damned monkey.";26
6556;"You're telling me! It's even stranger considering between Brann, Rutgar, me and the monkey, we know 38 different languages including a touch of Titan - both Vanir and Aesir.$B$BSo anyway, whatever she was click clacking about, it definitely wasn't with anyone ""present."" She then nodded and went on the offensive! Attacked us outright!";26
6557;Right then! So the Mistress had come back for a second go at the hives but Brann was having none of that nonsense! Before the melee began, she started talking to something or someone. Crazier still, she started chanting in a language none of us had ever heard.;26
6558;"Oh brother, not this again... Have a seat $g sonny:missy;.$B$BI'm sure Rutgar has told you some of this story already so I'll spare you the boring details and get right down to the nitty gritty.";26
6559;The crystal is covered in intricate glyphs and runes. You can't make sense of any of it.;26
6560;The crystal is covered in intricate glyphs and runes. You can't make sense of any of it.;26
6561;The crystal is covered in intricate glyphs and runes. You can't make sense of any of it.;26
6564;The spirits of Silithus call out to us, $n.  The land weeps, for it has a woeful story to tell?;26
6567;The Cenarion Circle is wise, and has delved into many of earth's secrets.  Craftsmen would do well to heed the words of these druids.;26
6568;The ghostly figure looks at you with mistrust in her eyes and remains silent.;26
6583;"We have more than one enemy in Silithus, $N.$B$BWhile everyone's attention is focused on the silithid, my big brother and I have been keeping a close eye on the Twilight's Hammer crazies.
";26
6585;Ancient forces stir - forces that have not been seen or felt for thousands of years. The world weeps, $r. Perhaps a new sundering comes. A sickness born from within...$B$BThe foulness has begun to seep into our lands. From the Dream come nightmares. Nightmares to befoul us in our waking hours...;26
6586;They say that I am blessed: A herald to harken in a new age.;26
6587;I have been slain a hundred times. I always wake here, alive. Some say I am cursed and others?;26
6588;Greetings, traveler. It was here, nearly 1,000 years past, that the Qiraji began their march of destruction across Kalimdor.$B$BThousands of lives were lost during the war, most in this cursed desert during the initial invasion.$B$BI am one of only a few that remain, chained to both the past and the present. I know not why I am to remain stationed here but I know that I must.;26
6596;Leave at once, stranger!  I have no business with you.;26
6791;Greetings, $c. I am Leoren, apprentice stable master of Cenarion Hold.;26
7418;Be careful out in the desert, $c.;26
7524;Do not waste my time.  What is it you want?;26
6235;If you have come to save the world then you have come to the right place. The faceless one - the Blood God, Hakkar - has been brought back into our world!;25
6321;I am Jin'rokh the Breaker, envoy of Mugamba: Fist of Rastakhan!$B$BMy dealings are with warriors and heathens.;25
6322;I am Al'tabim the All-Seeing - an envoy of King Rastakhan.$B$BMy dealings are with priests, mages, and warlocks.;25
6323;The League of Arathor has sworn to retake Arathi for humans of Stromgarde and the Alliance.  It is a battle hard fought, but a battle worth fighting.;25
6324;To win this war, we can't sit idle and let the tides sweep us over.  We must strike, hard and fast, or Arathi will never again be ours.;25
6341;What you be expectin', mon?$B$BMaywiki only be dealin' with the druids and shaman.;25
6361;We must not allow the Alliance to expand their power base in Arathi!  Even their miniscule Refuge Pointe may one day grow to threaten us.;25
6362;The battle for Arathi Basin is a battle for resources.  Lumber, ore, food... all these are needed in order to wage a good war.$B$BDenying our enemies of their supplies is as good as killing them on the battlefield.;25
6381;Hail, adventurer. I am Rin'wosho, trader of Zuldazar. I come from the South Seas and bring many exotic goods and items from my homeland.$B$BPerhaps if you prove your worth to my tribe, I shall barter.  If you have any of my tribe's Honor Tokens, then perhaps we shall barter even more.;25
6421;"Welcome to the Booty Bay fishing contest where each week we choose the finest fisherman to be the Master Angler!

Between 2pm and 4pm schools of tastyfish will appear up and down the coast of Stranglethorn.  While fishing if your fishing bobber lands in a tastyfish school then you will catch something from the school rather than the normal stranglethorn fishing fare. 

We already have a winner for our contest, but Jang is willing to purchase any Tastyfish that you have fished up!

There is always next Sunday for you to show your Angling skill!
";25
6422;Greetings, $c.  I am Exzhal, Servitor of Rastakhan.;25
6443;"The markings of this tablet show ancient diagrams and hold dire words of power, but their meaning is inscrutable to you.

The markings on this tablet show ancient diagrams and dire words of power, used to create  Gurubashi Mojo Madness?";25
6447;"*Whirr* *CLANK*

I have been instructed to accept high quality rare fish and return valuable Nat Pagle fishing accessories.   Fish Requested.

*THUMP* *Buzz*
";25
6470;"I am sorry $c, but you need to be more powerful before I can allow you to enter Arathi Basin.

The humans and their so-called League of Arathor think to push us out of Arathi Basin.  I think not $c!  Are you ready to be sent there and demonstrate that it is they, and not The Defilers, that will be leaving soon?";25
6471;Arathi Basin was once our home, and will be again with your aid!  Will you help us $c?;25
6472;"I am sorry $c, but you need to be more powerful before I can allow you to enter Arathi Basin.

I hope that you're here to help us take back Arathi Basin from The Defilers.  What do you say $N?";25
6473;"I am sorry $c, but you need to be more powerful before I can allow you to enter Arathi Basin.

I've been expecting you $N.  Are you ready to assist us in Arathi Basin?";25
6474;"I am sorry $c, but you need to be more powerful before I can allow you to enter Arathi Basin

You think you have what it takes to destroy The League of Arathor, $c?  I hope so.  What is it that you want, or are you simply here to waste my time?";25
6475;Look around you $c.  You are in rare company to be certain, yet still I think you need to prove yourself.  Hmm, perhaps I shall allow you to aid us in our cause at Arathi Basin.  Would you like that?;25
6476;"Heya Heya Heya!   If you want to test your fishing skills then I have just the place for you!   This Sunday we have a fishing tournament in Stranglethorn!
";25
6478;"Our need for assistance in Arathi Basin is greater than one might imagine, $N.  So too is the honor and reputation one might acquire there in this time of need, however.  I implore you to seek out the Arathi Basin battlemaster in this city.

You are not yet powerful enough, $c.  Move along.";25
6484;"You need to be stronger, $c before you can help us in Alterac Valley.

Hail, $c.  There is a great need and even greater honor and renown to be had in Alterac Valley at this time. Will you join our fight against the Stormpike Guard?";25
6490;"Unfortunately you are not yet strong enough to survive in Warsong Gulch, $c.

$C, we have a great need for your help in Warsong Gulch against the Silverwing Sentinels.  And there is even greater honor and reputation with the Warsong Outriders to be gained as well!  Do you have the courage to enter battle?";25
6504;"Thank you for the offer, $c.  Unfortunately you are not yet experienced enough to weather the hazards of Arathi Basin.

Will you help us in our time of great need at Arathi Basin, $c?  The chance for increased honor and standing is greater than ever, and your assistance is sure to help to turn the tide against The Defilers.  Can we count on you?";25
6508;"The seasons turn for all in due time, but you are still in the springtime of your life.  Please return to us later, $c, when you have experienced more.

$C, we are not ashamed to say that we are in need of all of the assistance that we can get in our fight at Warsong Gulch.  But there is greater honor to be had now than at any time in the past if you so choose to lend us your skills.  As well, the Silverwing Sentinels are sure to look more favorably upon your efforts on our behalf.  Will you join the battle?";25
6513;Well met master of Rod and Reel!   If you be willing to test your skills against the best fisher-folk in the lands then listen up!   On this very Sunday there be a contest in Stranglethorn where the master angler will be chosen!;25
6514;"Fishmaster Bassbait has had the waters here seeded with high quality Tastyfish so he can have his tournament.

Once he gets his winner, I will give you silver for each five Tastyfish you bring me!";25
6519;We, the Zandalarian trolls, traveled here from distant islands, for we cannot ignore the threat that now faces our world.$B$BThe leader of our expedition, Molthor, brought us to the Yojamba Isle, along the northern coasts of Stranglethorn, and even now recruits brave heroes to venture into the ancient troll city... Zul'Gurub.;25
8453;"I'm afraid ye would not survive long in Alterac Valley, $c.  Come back and see us when you have a few more seasons under your belt.

$N, the Stormpike Guard is in need of your aid in the battle against the Frostwolf Clan in Alterac Valley, now more than ever.  The opportunities for honor and repute are greater than ever as well! Will you join the battle?";25
11393;"It's my job to ensure that this whole assault runs like clockwork.$B$BHigh Tinker Mekkatorque is out in the field now, but he's scheduled to come back to get some more troops any time now.  $B$BHe's never late, so just stick around and he'll be here.

Hurry! You should talk to Mekkatorque! If we don't start the assault soon, we're going to be late.$B$BAnd my boss HATES it when we're late!";25
50157;The Zandalarian trolls have traveled far and suffered much to reach this place, but to do nothing... is to invite our doom?;25
5675;Look to this ravaged field and know the power that the elements hold, $r.;24
5687;Their manifest forms weak from eons of battle, imprisoned beneath the world - the world that they themselves created - the corruption of the Titan Shapers would permeate through the surface and befoul the Old Gods.$B$BIt was then and there that the brothers did turn. For five millennia a battle was fought at the core of this world.;24
5688;In the time before time, what the usurpers would later call the First Age of Creation, my master and his siblings ruled over this world. It was they, the Old Gods, who created all.$B$BAnd it was they who would ultimately be cast down by those that would call themselves Shapers.;24
5689;I know much, listen and be educated, $r.;24
5701;It was the Lieutenants of Ragnaros, Geddon and Garr, who would perpetrate the betrayal against my Lord. Thunderaan was caught unaware.;24
5702;It was during the Elemental Sundering that the Firelord, Ragnaros, would seek to consume my Lord, Thunderaan, Prince of Air.$B$B<Demitrian bows his head, his face contorted in rage.>$B$BSpeak his name and I shall decorate this ravaged camp with your entrails. Be silent and listen.;24
5703;What little remained of Thunderaan's essence was stored within a talisman of elemental binding. Ragnaros then shattered the talisman in two flawless pieces. The pieces assigned to his Lieutenants?;24
5704;The Firelord's advances were wholly unknown to Thunderaan. Before my Lord could react, Sulfuras, legendary hammer of Ragnaros, would strike an unmerciful blow. Thunderaan fell, utterly defeated.$B$BThe Firelord feasted upon the essence of my Lord, but was unable to consume him entirely.;24
6001;"A large humanoid hand print is embedded on the surface of the orb. Despite what appears to be constant manipulation and handling, the orb remains unmarred.

The orb's markings match the brand on your hand.";24
6021;I... I have failed, $N. The Lord of Bla... The Lord of Blackrock is too powerful. He consumed my energy with... with ease. I turn... I... kill me... you must... you must kill me.;24
6101;I perform one final service. I pray it is sufficient?;24
6161;Welcome!  Welcome to Yebb Neblegear's Darkmoon Zoo Bizarre - a Trove of Living Legends and Mythical Oddities!  Enjoy your visit, friend!$B$BBut be mindful of what you touch!  These exhibits hold artifacts and beasts both dire and divine!  They might burn the wayward hand of an over-curious onlooker...;24
6162;Where can I send you today $c?;24
6181;It's not always about money, clem!  While we receive generous donations - some extremely substantial - our traveling troupe of performers is fueled creatively by a need to brighten this war-torn world.  Don't worry about us, but instead let us worry about how to best entertain you.;24
6182;Greetings my friend, and welcome to the greatest show on Azeroth!$B$BPlease, step right up and take in all we have to offer.  Amaze at the wonders that the Darkmoon Faire has uncovered in this vast and mysterious world!  We have spared no expense in bringing you excitement that children of all ages will delight in!;24
6183;Ticket redemption here!  Get your tickets turned into prizes!  Step right up!;24
6184;Move along, rube.;24
6185;Very well then...$B$BYou have been tasked by your liege to guard his fields of corn from poachers and thieves.  One night on patrol, you stumble across a haggard man in thread-bare clothing stealing corn from the field.  You quickly confront him, and he immediately begs for his life.  He claims he is stealing the corn to feed his family since the lord of the land - your liege - demands too much in taxes.  Your liege is indeed known for his harsh taxes throughout the land.$B$BMake your choice.;24
6186;I have long known you'd seek me out, $N.$B$BEvery sentient being in this world is driven by the choices they make.  Choices begat further choices, and these in turn make someone who they are.  This is where your fortune is drawn from - who you are, and the choices you make.$B$BAre you ready to discover where your fortune lies?;24
6187;Your next choice awaits.$B$BYou are the sworn executioner for your liege.  A man has been sent to you for execution as a traitor of the liege and your people.  You know this individual as a close, virtuous friend who mysteriously vanished one day.  You also know that the man's crimes for which he was convicted supposedly caused the deaths of many innocent civilians.  Upon seeing you he begs for his life, claiming he was framed by a higher authority.$B$BMake your choice.;24
6201;"Can't you see I've got work to do here?

Sure are a lot of litter bugs around here.";24
6202;Welcome to the Faire young one!   We have collected wonders from all over the world for your perusal.   Oh and please let me know if you manage to collect a set of the lesser darkmoon cards, as the master...I mean I would be keenly interested in them.;24
6203;If you manage to complete a deck of Beasts cards you will be rewarded with a Greater Darkmoon card of the Blue Dragon.   This is very useful in restoring of magical energies.;24
6204;If you manage to complete a deck of Portals cards you will be rewarded with a Greater Darkmoon card of the Twisting Nether.   This card will occasionally pull your spirit back into your body after death and restore you.;24
6205;If you manage to complete a deck of Elementals cards you will be rewarded with a Greater Darkmoon card of the Maelstrom.   This card will occasionally impact an enemy you are fighting with for heavy damage.;24
6206;If you manage to complete a deck of Warlords cards you will be rewarded with a Greater Darkmoon card of Heroism.   This card will occasionally heal you while you are engaged in melee combat.;24
6207;We have seeded Darkmoon Cards around the world to see if any worthy individuals could complete a set of any of the four suits.    If you manage to collect all eight cards of one of the suits we will reward you with one of the Greater Darkmoon cards that functions as a powerful trinket as well as a link to the Darkmoon Faire.;24
6208;Your next choice awaits.$B$BYou are on a diplomatic mission for your liege to a cruel country that is currently at war with yours.  The war has been costly on both sides.  Your mission is to secure a peace that is honorable to both peoples.$B$BAt a diplomatic dinner, you overhear the ruler of the opposing land viciously insult your benevolent liege.  You are fairly certain the ruler meant to say it out of your earshot, but nonetheless he has besmirched your liege's honor.$B$BMake your choice.;24
6209;Your next choice awaits.$B$BYour brother seeks to join the ranks of the prestigious military order you are already a part of.  While you are sure of his commitment and loyalty, his talent and ability to perform the arduous tasks of the order is what you question.  While you are not certain he will be able to rise to the challenge of the order - putting you and others in danger - you are certain that your word alone would allow him in or keep him out.$B$BMake your choice.;24
6210;Your next choice awaits.$B$BYou alone have defeated a terrible beast that has been ravaging the countryside, taking its ear as a trophy.  You later learn that your liege had offered a reward for the beast's death, and that a kind but destitute knight who you know is trying to support a family by meager means claims the beast's kill as his own.  You have no real need for money yourself, but you know that the destitute knight is lying for his own personal gain.$B$BMake your choice.;24
6211;Your fortune is cast, $c.  For the next few hours, you will find your spirit in tune with your true nature.  Be careful, as your fortune - and your fate - are never as clear as you might think them to be.$B$BIf you would like a small glimpse of something to ponder in your future, by all means let me know.  I'd be happy to give you a written fortune, provided you have room in your inventory.  It is one drawn from the insight you have shown in answering my questions.;24
6212;Here is your fortune, $N.  May it serve you well.;24
6213;It's here!  The Darkmoon Faire is now open for business!  Be sure to see the most exciting show on all of Azeroth!;24
6214;The Darkmoon Faire is coming to town!  Don't miss it!;24
6221;When the Darkmoon Faire opens, it will be located in Mulgore.  We'll be pitching our tents just southwest of Thunder Bluff!;24
6222;The Darkmoon Faire is right now located in Elwynn Forest, just south of Goldshire.  Don't miss it!;24
6223;$N, it's good to see you again!  Are you having fun at the Faire?$B$BWant to arm wrestle?  No, of course not... you want to keep your arm!;24
6224;Greetings.  I am Chronos - He Who Never Forgets.  My memory is without flaw, and exact to the most minor detail.$B$BTrust me.;24
6225;Hello!  And welcome!  I'm afraid my booth is not open... many repairs are needed...$B$BBut I am still bound by blood oath to put a smile on your face.  So please, smile, or I must cut off my hand and consume no living flesh until it regenerates?;24
6227;I can't find my pet frog, Jubjub.  She loves Dark Iron Ale, it's all she ever drinks, but can be so hard to get!  Now I'm out... and Jubjub must have run away to find more!$B$BI wish she would come back?;24
6230;Tasty drinks for sale!  Quench your thirst on some of the Darkmoon Faire's finest brews!;24
6231;Hey, someone help me catch this thing!;24
6232;Ribbit.;24
6233;Every item that I have for sale I acquired myself.  You have my personal guarantee of authenticity.;24
6234;Step right up!  Get your Red Hot Wings right here!;24
6282;"Greetings $c.  Do you wish to aid the Silverwing Sentinels in their fight at Warsong Gulch?

I am sorry $c, but you are not seasoned enough yet to enter Warsong Gulch.";24
6459;"I am sorry $c, but you are not seasoned enough yet to enter Warsong Gulch.

Throm'ka $c!  Are you ready to fight for the Horde at Warsong Gulch?";24
6460;"I am sorry $c, but you are not seasoned enough yet to enter Warsong Gulch.

Hail to thee $N.  Do you wish me to aid you in your journey to Warsong Gulch?";24
6461;"I am sorry $c, but you are not seasoned enough yet to enter Warsong Gulch.

$N, the Silverwing Sentinels must be crushed!  Are you ready for Warsong Gulch?";24
6462;"I am sorry $c, but you are not seasoned enough yet to enter Warsong Gulch.

Are you here to fight for us at Warsong Gulch?  Lok'tar Ogar $c!";24
6463;$C, we need your assistance at Warsong Gulch.  Will you aid us in our fight against the Warsong Outriders?;24
6464;"I am sorry $c, but you need to be more experienced before you can survive in Alterac Valley.

Aye $g lad : lass; are ye ready to head to Alterac Valley and give the Horde a taste o' what they been asking for?";24
6465;$N, have ye any idea o' what we're up against in Alterac Valley?  Are ye ready to fight the Frostwolf Clan?;24
6466;"I am sorry $c, but you need to be more experienced before you can survive in Alterac Valley.

The Stormpike Guard must be destroyed!  Ready for Alterac Valley $c?";24
6467;"I am sorry $c, but you need to be more experienced before you can survive in Alterac Valley.

Lok'tar $c!  We have need of your services in Alterac Valley.  Shall I add you to the lists?";24
6468;"I am sorry $c, but you need to be more experienced before you can survive in Alterac Valley.

Our forces in Alterac Valley need wisdom to achieve victory $c.  You look like the one to lead them.";24
6469;"I am sorry $c, but you need to be more experienced before you can survive in Alterac Valley.

I hope that you are here to go to Alterac Valley $N.  We can use all o' the help that we can get.";24
6574;"Oh that's simple! You use it like anything else you might activate. Don't worry, I'll take care of lighting the fuse. Once you're up in the air you'll notice that you'll seem to ""float,"" but that won't last forever. What you're aiming for is a target on the lake way over yonder. Make sure that you begin your descent by detaching your ""wings"" at the right time to land in the water, or, well, I don't sell life insurance.";24
6575;Welcome! Step right up, don't be shy. This here is my pride and joy... the Blastenheimer 5000 Ultra Cannon! Ain't she pretty? You look a little big around the mid section, but I think you'll fit. Flying is so much fun, want to learn how?;24
6577;"An excellent question! We have many things for sale here at the faire. If you are interested in food and drink, then head over to Stamp and Sylannia's booth. My favorite is the Darkmoon Special Reserve.

If you'd rather purchase something more exotic, then Lhara may have just the thing for you. She specializes in rarities from all over the world.

And then there is Flik running around here somewhere. If you can grab him he sells balls for throwing and frogs to keep as pets.";24
6578;"Glad you asked. Darkmoon Faire Prize Tickets are our way of letting you help with the faire, and in return you can turn in your tickets for special prizes!

To get started you'll want to talk to Chronos, Kerri Hicks, Ringling and Yebb Nebblegear to see who you can best help. They always have something that needs doing to improve and expand our attractions.

Then when you have enough tickets, speak with Gelvas Grimegate and he will give you a list of prizes to choose from.";24
6579;"No one really knows who made the Darkmoon Cards or what their true purpose is, but I can tell you that they have been found all over Azeroth, usually in the hands of a villain attempting to unlock their mysteries.

There are four types of Darkmoon Cards; Beasts, Elementals, Portals and Warlords, with eight cards, Ace to Eight in each suit. If you collect all eight of one suit then you can turn them into a deck that you can give to our Professor Thaddeus Paleo in exchange for a powerful trinket.";24
6581;I highly recommend that you visit Sayge to get your fortune told. I know, I know... he's a gnoll.  But he's a very special gnoll with the power to divine your future!$B$BAnd we are constantly expanding the faire with all manner of new attractions!;24
6582;Hello $c, and welcome to the Darkmoon Faire. There is so much to do here at the faire that it can be a little overwhelming for our first time visitors. That's why I'm here to help. Do you have any questions?;24
7093;Our newest attraction, and at no cost to you I might add, these miniature tanks, or Tonks as we've cleverly named them, can be controlled from any of the Tonk Control Consoles spread throughout the faire.$B$BAll that you have to do is activate an available control console. Each tonk will come equipped with a stock set of devices, and a random special power to unleash upon your enemy!$B$BHold epic battles with your friends, cruise around, or just cause wild mayhem... the choice is yours!;24
7095;The Blastenheimer 5000 Ultra Cannon is a state-of-the-art single person projectile device. Delivering its payload at near the speed of a dragon, the cannon is the pride and joy of the Blastenheimer family, world renown for their aeronautical and combustible feats!$B$BIf you'd like to be launched through the skies to fly free as a bird, seek out Maxima Blastenheimer on the south edge of Thunder Bluff's Hunter Rise. She'll aim you at the target far to south on Stonebull Lake!;24
8848;"There are eight types of Darkmoon Cards; Beasts, Blessings, Elementals, Furies, Lunacy, Portals, Storms and Warlords, with eight cards, Ace to Eight in each suit. If you collect all eight of one suit then you can turn them into a deck that you can give to our Professor Thaddeus Paleo in exchange for a powerful trinket.$B";24
50309;I study the known and unknown elements of our world.;24
50310;Elementium? I have not heard that word uttered from the mouth of a mortal in decades.;24
50311; A former student of mine by the name of Krixix spent a lifetime attempting to make contact with the chained Gods of the underworld. He pursued that which would spring up from the ravaged earth... That which would form only as a result of the elements clashing in the titanic conflict.$B$BElementium as it would be known to mortals.$B$BOne day, nearly a decade ago, Krixix's pursuit lead to a fissure forming in this very gorge.;24
50312;Aye, he had done what was thought to be impossible. Out from the fissure sprung an agent of Therazane!$B$BFrom my vantage point, I could see the goblin holding conversation with the agent of the Old God. What happened after that was terrible?;24
50313;The fissure closed and Krixix was gone! Swallowed whole!$B$BBe warned, $r, what you wish for could very well become that which you do not want. You play with beings and arcana that are older than time itself!$B$BShould Krixix be alive and should he have the information which you seek, you can be certain that he will not give up said information. He has faced terrors far worse than you could ever dream to perpetuate.;24
5021;"Our units are not upgraded, and I don't have enough supplies to upgrade them.

Our units are upgraded to Veteran, but I don't have enough supplies to upgrade them to Champion.";23
5081;"$N, it's good to see veterans like you in the field!  I'm sorry to report that our supplies are currently too low to launch any large ground assaults against the Horde.$B$BSpeak with our quartermaster; he has supply missions available.";23
5124;Our units are not upgraded, and I don't have enough supplies to upgrade them.;23
5141;We have been sent here from Darnassus to aid the Stormpike in their time of need.;23
5142;My faith guides my actions, $r. I know that Ivus will come.;23
5146;I was shot down by that reckless fool, Mulverick. I fear that if I do not make it back to base, all will be lost! Mulverick and his squad of War Riders must be stopped!;23
5147;I can't believe it... I was doing a routine recon mission over the central DMZ when all hell broke loose. I saw the Horde Wing Commander, Mulverick, take out both Ichman and Slidore! Anger took hold of me and I broke from my wing man and drove that bastard Mulverick down. Unfortunately, he clipped my gryphon before he crashed, forcing me down as well. I ended up captured by these savages.$B$BI have to get back to base! Help!;23
5148;"I heard their mocking laughter as my gryphon crashed and burned, $c.$B$B""Slidore, you stink!"" They shouted.$B$BNobody talks to Slidore that way! Help me get out of here so that I can show them who the real stinker is!";23
5241;They say an army travels on its stomach, and that's the truth.  For any offensive to succeed, your troops have to be well-fed and well supplied.;23
5281;Death to Frostwolf!;23
5283;The indigenous rams of Alterac are vital to the functionality of our cavalry!;23
5441;I am in charge of recruitment for the Frostwolf Clan. As a soldier of Frostwolf, it is your responsibility to check in with me as your rank among the clan rises.$B$BHonor and respect are earned on this frigid field.;23
5442;Hail, $r! I am Lieutenant Haggerdin, officer in charge of recruitment for the Stormpike Guard.$B$BAs you gain prestige and notoriety among the Stormpike, return to me and I shall see about upgrading your insignia. Also, should you ever lose your insignia, I am able to supply a replacement.;23
5626;We barely have any excess supplies.  It'll take a lot more work before we're ready to send another ground assault into the Field of Strife.;23
5941;Yesh, it'sh true, I'm blind as a bat! An' drunk as a ... err, drunk as shomething that getsh drunk.$B$BI'll tell you what, $r. It'sh the drink that keeps me shenses sharp. It'sh common knowledge that when you lose a shense, yer other shenses become more alert. My drunk shense is incredible these days.;23
5942;We chose to leave the protection and comfort of the Depths to exploit... er, I mean... hrm, yes that's right, EXPLORE the world.;23
5962;"Burninate's the name, smithin's my game... and, erm... I sell a little food and water on the side. Care for some meat?

You've done all that I've asked you to do, $N. There's really nothing more here for you. If you are interested in continuing your career as an agent of the Thorium Brotherhood, speak with Lokhtos Darkbargainer at the Grim Guzzler in Blackrock Depths.$B$BFarewell!";23
5963;When Lolo doesn't wanna spill any o' his precious ale or get his lil' dress dirty, I'm called in. Yep. Ol' Hansel is the dwarf they use to mete out a lil' bit o' justice an' a whole lotta pain.;23
5966;As acting Taskmaster of this here compound, it is my duty to make sure that there is a certain level of tedium involved with all forms of business, work, rest, and relaxation that may take place here.$B$BIf you find anything that you are asked to do to be too easy and hassle free, report to me immediately.;23
5967;"Thorium Brotherhood or not, if one of them Dark Iron gets near to me they'll taste my mattock up the side of their head!  Now, where can I send ya $G lad : lass;?";23
5968;As long as those dwarves stay over there we'll have no trouble.  Where are you heading $N?;23
6022;I am he that watches they. I am the fist of retribution. That which does quell the recalcitrant. Dare you defy the Warchief? Dare you face my merciless judgement?;23
6023;Can't you see I'm fishing here!;23
6028;Move along, citizen. There is nothing to see here.;23
6034;Aye, you there!  If you want to earn the respect of the Darkspear, then you can start by donating valuable resources for those in need!  Textiles and bandages don't grow on trees, ya know.$B$BRather than cash in various cloth pieces you find adventuring, donate them!  Doing so will earn you the recognition of the Darkspear!;23
6035;In these trying times, a simple donation of cloth can go a long way to help those less fortunate than ourselves.  Cloth goes a long way to making garments and bandages - both important for the war effort!$B$BIf you are interested in donating cloth pieces to the orcs of Orgrimmar, I will gladly accept them and make sure you receive the proper recognition for doing so.$B$BFor the Horde!;23
6036;You there... it is in your best interest to aid the Forsaken during these dire times.  Listen closely, as I dislike repeating myself.$B$BWe currently find ourselves in a dire shortage of cloth.  Bandages and simple textiles are running low, and donations are being accepted to bolster sagging inventories.  While you'll not receive financial compensation - hence what donation means - your aid will not go unnoticed.;23
6037;"Hail $g brother : sister;... I'd like a moment of your time, if I may.$B$BWe tauren have endured much in our trials and tribulations in establishing our homeland.  We now find ourselves in a dire shortage of cloth.  If you have the materials to spare, I ask that you please donate them.  You certainly would earn the gratitude of tauren everywhere in helping us out!";23
6041;Friend - Stormwind needs your assistance and your generosity!$B$BOur once large stockpile of textiles has run critically low.  Stormwind is now engaged in a multi-pronged effort to rebuild those stocks for the manufacture of textiles and bandages!  Your donation of cloth would help Stormwind immensely, as well as earn the respect of the citizenry!;23
6042;The exiles of Gnomeregan find ourselves in even more dire straits by running low on cloth reserves!  Perhaps you can help us, eh?!$B$BBring me extra cloth pieces you might have to help us replenish our stocks.  By donating them, you'll be earning the respect and trust of gnomes everywhere.  That's something that money can't buy!  Well, I guess cloth does, but that's beside the point...;23
6043;"Aye, you there!  If you want to earn the respect of the dwarves of Ironforge, then you can start by donating valuable resources!  Ironforge finds itself running low on cloth piece; textiles and bandages don't grow on trees, ya know!$B$BRather than cash in various cloth pieces you find adventuring, donate them!  Doing so will earn you the recognition of the dwarven people of Ironforge!";23
